Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time Exact,Moving Time,Distance Exact,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate Exact,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort Exact,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Media
4174180722,"Oct 10, 2020, 3:13:23 AM",Night Run,Run,,1026,2.27,,,false,,,activities/4174180722.gpx,,,1026.0,1006.0,2271.0439453125,3.0,2.2574989795684814,10.609999656677246,10.90999984741211,294.8999938964844,302.1000061035156,3.5999999046325684,-0.013246787711977959,,,,,,,,,250.39370727539062,,,,,,,,,,,,,,,,0.0,,1.0,2269.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4181348611,"Oct 11, 2020, 1:46:33 PM",Morning Run,Run,,2426,5.43,,,false,,,activities/4181348611.gpx,,,2426.0,2206.0,5431.5869140625,3.5999999046325684,2.4621880054473877,20.234167098999023,20.23419952392578,292.3999938964844,302.29998779296875,4.599999904632568,0.0,,,,,,,,,600.4218139648438,,,,,,,,,,,,,,,,0.0,,1.0,5441.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4187952650,"Oct 13, 2020, 3:36:36 AM",Night Run,Run,,944,2.21,,,false,,,activities/4187952650.gpx,,,944.0,935.0,2215.868896484375,3.200000047683716,2.369913339614868,11.516666412353516,11.216699600219727,294.79998779296875,302.1000061035156,5.0,0.013567907735705376,,,,,,,,,245.50523376464844,,,,,,,,,,,,,,,,0.0,,1.0,2224.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4193866134,"Oct 14, 2020, 1:07:56 PM",Morning Run,Run,,2162,5.36,,,false,,,activities/4193866134.gpx,,,2162.0,2071.0,5366.4951171875,3.799999952316284,2.5912578105926514,17.64583396911621,17.745800018310547,293.79998779296875,301.79998779296875,5.599999904632568,-0.001869403524324298,,,,,,,,,591.8697509765625,,,,,,,,,,,,,,,,0.0,,1.0,5363.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4204474849,"Oct 17, 2020, 2:47:36 AM",Night Run,Run,,890,2.27,,,false,,,activities/4204474849.gpx,,,890.0,880.0,2278.929443359375,5.099999904632568,2.5896925926208496,11.472222328186035,10.472200393676758,294.8999938964844,302.1000061035156,3.799999952316284,0.04514061287045479,,,,,,,,,246.034912109375,,,,,,,,,,,,,,,,0.0,,1.0,2229.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4208005665,"Oct 17, 2020, 6:33:42 PM",Afternoon Run,Run,,1397,3.53,,,false,,,activities/4208005665.gpx,,,1397.0,1347.0,3530.57275390625,4.0,2.621063709259033,13.197221755981445,13.297200202941895,293.5,302.1000061035156,4.599999904632568,-0.002865165239199996,,,,,,,,,386.6861877441406,,,,,,,,,,,,,,,,0.0,,1.0,3504.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4213249233,"Oct 18, 2020, 6:20:56 PM",Afternoon Run,Run,,1455,3.67,,,false,,,activities/4213249233.gpx,,,1455.0,1373.0,3674.134033203125,4.0,2.675989866256714,13.008333206176758,13.10830020904541,293.79998779296875,302.1000061035156,4.099999904632568,-0.0027362776454538107,,,,,,,,,404.0661926269531,,,,,,,,,,,,,,,,0.0,,1.0,3661.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4222806169,"Oct 21, 2020, 2:33:51 AM",Night Run,Run,,1772,3.43,,,false,,,activities/4222806169.gpx,,,1772.0,1772.0,3435.454345703125,2.9000000953674316,1.9387439489364624,0.0,,,,0.0,0.0,,,,,,,,,379.09967041015625,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4224431047,"Oct 21, 2020, 1:56:27 PM",Morning Run,Run,,1466,3.77,,,false,,,activities/4224431047.gpx,,,1466.0,1438.0,3778.112060546875,4.099999904632568,2.62733793258667,12.86111068725586,13.461099624633789,293.5,301.5,2.700000047683716,-0.015983376652002335,,,,,,,,,415.2556457519531,,,,,,,,,,,,,,,,0.0,,1.0,3763.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4234925115,"Oct 24, 2020, 1:53:22 AM",Evening Run,Run,,1897,3.02,,,false,,,activities/4234925115.gpx,,,1897.0,1897.0,3025.139404296875,5.400000095367432,1.5946966409683228,0.0,,,,0.0,0.0,,,,,,,,,333.8222351074219,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4237900133,"Oct 24, 2020, 4:11:46 PM",Lunch Run,Run,,1379,3.58,,,false,,,activities/4237900133.gpx,,,1379.0,1364.0,3583.32421875,3.799999952316284,2.627070426940918,6.650000095367432,6.650000095367432,295.29998779296875,302.1000061035156,5.800000190734863,0.0,,,,,,,,,396.9155578613281,,,,,,,,,,,,,,,,0.0,,1.0,3596.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4243945758,"Oct 25, 2020, 9:06:04 PM",Afternoon Run,Run,,1781,2.91,,,false,,,activities/4243945758.gpx,,,1781.0,1781.0,2911.80517578125,2.9000000953674316,1.6349271535873413,0.0,,,,0.0,0.0,,,,,,,,,321.31634521484375,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4256908340,"Oct 29, 2020, 1:58:26 AM",Evening Run,Run,,1541,3.47,,,false,,,activities/4256908340.gpx,,,1541.0,1347.0,3470.26513671875,4.0,2.576291799545288,12.54444408416748,11.844400405883789,295.29998779296875,302.3999938964844,3.799999952316284,0.020374897867441177,,,,,,,,,380.3079833984375,,,,,,,,,,,,,,,,0.0,,1.0,3446.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4266194569,"Oct 31, 2020, 12:27:20 PM",Morning Run,Run,,1505,3.62,,,false,,,activities/4266194569.gpx,,,1505.0,1434.0,3620.0029296875,4.400000095367432,2.524409294128418,11.714166641235352,11.714200019836426,293.70001220703125,302.3999938964844,2.799999952316284,0.0,,,,,,,,,396.5955505371094,,,,,,,,,,,,,,,,0.0,,1.0,3594.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4271633455,"Nov 1, 2020, 1:19:21 PM",Morning Run,Run,,2711,4.17,,,false,,,activities/4271633455.gpx,,,2711.0,2711.0,4170.7666015625,3.0999999046325684,1.5384604930877686,0.0,,,,0.0,0.0,,,,,,,,,460.24176025390625,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4278633542,"Nov 3, 2020, 2:28:54 AM",Evening Run,Run,,890,2.26,,,false,,,activities/4278633542.gpx,,,890.0,881.0,2266.856689453125,3.9000000953674316,2.573049545288086,6.857500076293945,6.957499980926514,295.29998779296875,302.3999938964844,2.5999999046325684,-0.004425953608006239,,,,,,,,,250.39370727539062,,,,,,,,,,,,,,,,0.0,,1.0,2269.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4287872852,"Nov 5, 2020, 2:42:44 AM",Evening Run,Run,,1471,3.23,,,false,,,activities/4287872852.gpx,,,1471.0,1354.0,3235.5556640625,3.5,2.389627456665039,8.510000228881836,8.609999656677246,293.70001220703125,302.3999938964844,2.9000000953674316,-0.0030998140573501587,,,,,,,,,357.3663635253906,,,,,,,,,,,,,,,,0.0,,1.0,3238.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4295227923,"Nov 6, 2020, 2:53:33 AM",Evening Run,Run,,1596,3.45,,,false,,,activities/4295227923.gpx,,,1596.0,1425.0,3456.818603515625,5.900000095367432,2.425837516784668,11.80080795288086,11.700799942016602,293.70001220703125,302.3999938964844,3.0999999046325684,0.002906300825998187,,,,,,,,,380.2307434082031,,,,,,,,,,,,,,,,0.0,,1.0,3445.699951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4303259278,"Nov 7, 2020, 4:30:57 PM",Morning Run,Run,,1732,3.93,,,false,,,activities/4303259278.gpx,,,1732.0,1589.0,3931.240234375,4.400000095367432,2.474034309387207,14.763333320617676,14.863300323486328,293.70001220703125,302.3999938964844,2.700000047683716,-0.002543752547353506,,,,,,,,,435.5709533691406,,,,,,,,,,,,,,,,0.0,,1.0,3947.199951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4310784253,"Nov 8, 2020, 6:03:15 PM",Lunch Run,Run,,1273,3.24,,,false,,,activities/4310784253.gpx,,,1273.0,1252.0,3246.9775390625,5.599999904632568,2.5934324264526367,12.725000381469727,11.725000381469727,293.70001220703125,302.3999938964844,3.0,0.03095208667218685,,,,,,,,,357.0463562011719,,,,,,,,,,,,,,,,0.0,,1.0,3235.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4315508922,"Nov 10, 2020, 2:52:33 AM",Evening Run,Run,,1307,3.09,,,false,,,activities/4315508922.gpx,,,1307.0,1208.0,3089.586181640625,3.700000047683716,2.5576045513153076,3.9013888835906982,4.001389980316162,293.70001220703125,298.20001220703125,2.299999952316284,-0.0032709669321775436,,,,,,,,,338.14349365234375,,,,,,,,,,,,,,,,0.0,,1.0,3064.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4325432905,"Nov 12, 2020, 3:27:14 AM",Night Run,Run,,1793,2.89,,,false,,,activities/4325432905.gpx,,,1793.0,1793.0,2892.748779296875,2.700000047683716,1.6133568286895752,0.0,,,,0.0,0.0,,,,,,,,,319.21307373046875,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4329986475,"Nov 13, 2020, 3:54:11 AM",Night Run,Run,,1787,2.79,,,false,,,activities/4329986475.gpx,,,1787.0,1787.0,2793.67724609375,2.9000000953674316,1.5633336305618286,0.0,,,,0.0,0.0,,,,,,,,,308.28076171875,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4337025402,"Nov 14, 2020, 3:26:39 PM",Morning Run,Run,,1488,3.63,,,false,,,activities/4337025402.gpx,,,1488.0,1385.0,3630.23388671875,3.700000047683716,2.621107578277588,13.100000381469727,13.0,293.70001220703125,302.3999938964844,3.4000000953674316,0.0027601434849202633,,,,,,,,,400.24810791015625,,,,,,,,,,,,,,,,0.0,,1.0,3627.10009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4343599190,"Nov 15, 2020, 7:06:11 PM",Afternoon Run,Run,,1797,3.02,,,false,,,activities/4343599190.gpx,,,1797.0,1797.0,3022.059814453125,2.700000047683716,1.681725025177002,0.0,,,,0.0,0.0,,,,,,,,,333.48236083984375,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4354587349,"Nov 16, 2020, 10:03:00 AM",Morning Run,Run,,2400,3.54,,,false,,,,,,2400.0,2400.0,3540.56396484375,,1.4752349853515625,,,,,,0.0,,,,,,,,,390.698486328125,,,,,,,,,4.0,,,,,0.0,26.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4355991932,"Nov 18, 2020, 3:13:35 PM",Morning Run,Run,,1315,3.17,,,false,,,activities/4355991932.gpx,,,1315.0,1198.0,3174.836181640625,4.5,2.650113582611084,6.422222137451172,6.222219944000244,293.70001220703125,300.20001220703125,3.299999952316284,0.006485925521701574,,,,,,,,,340.96844482421875,,,,,,,,,,,,,,,,0.0,,1.0,3089.89990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4362936774,"Nov 20, 2020, 3:21:27 AM",Night Run,Run,,1450,3.59,,,false,,,activities/4362936774.gpx,,,1450.0,1443.0,3598.45068359375,4.400000095367432,2.4937288761138916,12.976666450500488,13.076700210571289,293.70001220703125,302.3999938964844,3.9000000953674316,-0.002788078272715211,,,,,,,,,397.4121398925781,,,,,,,,,,,,,,,,0.0,,1.0,3601.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4371636133,"Nov 21, 2020, 9:48:48 PM",Afternoon Run,Run,,1406,3.58,,,false,,,activities/4371636133.gpx,,,1406.0,1364.0,3584.72509765625,4.400000095367432,2.6280975341796875,13.020833015441895,13.02079963684082,293.70001220703125,302.3999938964844,3.200000047683716,0.0,,,,,,,,,395.44793701171875,,,,,,,,,,,,,,,,0.0,,1.0,3583.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4377066346,"Nov 22, 2020, 7:38:54 PM",Afternoon Run,Run,,1411,3.49,,,false,,,activities/4377066346.gpx,,,1411.0,1280.0,3489.649169921875,4.5,2.726288318634033,11.68055534362793,11.780599594116211,293.70001220703125,302.3999938964844,3.4000000953674316,-0.002871335484087467,,,,,,,,,385.7151184082031,,,,,,,,,,,,,,,,0.0,,1.0,3495.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4393912697,"Nov 26, 2020, 4:10:24 PM",Morning Run,Run,,2533,5.30,,,false,,,activities/4393912697.gpx,,,2533.0,2511.0,5305.60009765625,3.5999999046325684,2.112942934036255,12.203845977783203,12.403800010681152,258.8999938964844,266.70001220703125,5.0,-0.0037696019280701876,,,,,,,,,587.3233642578125,,,,,,,,,,,,,,,,0.0,,1.0,5322.39990234375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4404283455,"Nov 28, 2020, 9:38:08 PM",Afternoon Run,Run,,1392,3.52,,,false,,,activities/4404283455.gpx,,,1392.0,1366.0,3522.88623046875,3.799999952316284,2.578979730606079,11.722222328186035,11.822199821472168,293.70001220703125,302.3999938964844,2.700000047683716,-0.0028528228867799044,,,,,,,,,388.16485595703125,,,,,,,,,,,,,,,,0.0,,1.0,3517.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4409468658,"Nov 29, 2020, 7:43:41 PM",Afternoon Run,Run,,1433,3.47,,,false,,,activities/4409468658.gpx,,,1433.0,1312.0,3471.514404296875,3.700000047683716,2.6459712982177734,13.05555534362793,12.955599784851074,293.70001220703125,302.3999938964844,3.0999999046325684,0.002886752597987652,,,,,,,,,382.7798156738281,,,,,,,,,,,,,,,,0.0,,1.0,3468.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4423203490,"Dec 3, 2020, 4:10:50 AM",Night Run,Run,,1661,2.78,,,false,,,activities/4423203490.gpx,,,1661.0,1661.0,2786.73486328125,3.0999999046325684,1.6777452230453491,0.0,,,,0.0,0.0,,,,,,,,,307.5138244628906,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4427192281,"Dec 4, 2020, 3:24:33 AM",Night Run,Run,,2089,3.45,,,false,,,activities/4427192281.gpx,,,2089.0,2089.0,3454.218017578125,3.0,1.653527021408081,0.0,,,,0.0,0.0,,,,,,,,,381.1709289550781,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
4434344297,"Dec 5, 2020, 7:40:46 PM",Afternoon Run,Run,,1586,3.60,,,false,,,activities/4434344297.gpx,,,1586.0,1355.0,3599.3056640625,3.9000000953674316,2.6563141345977783,13.033333778381348,12.933300018310547,293.70001220703125,302.3999938964844,3.0,0.0027827247977256775,,,,,,,,,396.904541015625,,,,,,,,,,,,,,,,0.0,,1.0,3596.800048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4439417254,"Dec 6, 2020, 7:46:29 PM",Afternoon Run,Run,,1404,3.51,,,false,,,activities/4439417254.gpx,,,1404.0,1371.0,3518.6328125,4.300000190734863,2.566471815109253,11.676666259765625,11.776700019836426,293.70001220703125,302.3999938964844,2.5999999046325684,-0.0028579593636095524,,,,,,,,,387.46966552734375,,,,,,,,,,,,,,,,0.0,,1.0,3511.300048828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
4450260475,"Dec 9, 2020, 1:55:54 PM",Morning Run,Run,,1464,3.61,,,false,,,activities/4450260475.gpx,,,1464.0,1308.0,3614.691650390625,4.099999904632568,2.7635257244110107,13.190278053283691,13.190299987792969,293.70001220703125,302.3999938964844,2.9000000953674316,0.0,,,,,,,,,397.7652587890625,,,,,,,,,,,,,,,,0.0,,1.0,3604.60009765625,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,""
